"","effectsize","fixedN","lb.percent","lb.actual","power","average.N","average.d","nr_of_experiments","lb_stop","lb_stop_reject","lb_continue","lb_continue_reject","efficiency"
"1","0.2",394,0.4,158,0.7006,223,0.21,5000,2020,1076,2980,2427,76.68
"8","0.2",394,0.45,178,0.7538,247,0.21,5000,1983,1206,3017,2563,59.51
"15","0.2",394,0.5,197,0.7692,266,0.21,5000,2032,1322,2968,2524,48.12
"22","0.2",394,0.55,217,0.8064,289,0.21,5000,2135,1520,2865,2512,36.33
"29","0.2",394,0.6,237,0.8378,307,0.21,5000,2215,1721,2785,2468,28.34
"36","0.2",394,0.65,257,0.8568,323,0.21,5000,2337,1899,2663,2385,21.98
"43","0.2",394,0.7,276,0.8822,344,0.21,5000,2408,2042,2592,2369,14.53
"2","0.25",253,0.4,102,0.7126,146,0.26,5000,1950,1047,3050,2516,73.29
"9","0.25",253,0.45,114,0.745,158,0.26,5000,2031,1171,2969,2554,60.13
"16","0.25",253,0.5,127,0.7884,175,0.26,5000,2018,1342,2982,2600,44.57
"23","0.25",253,0.55,140,0.817,188,0.26,5000,2093,1503,2907,2582,34.57
"30","0.25",253,0.6,152,0.8394,197,0.26,5000,2194,1688,2806,2509,28.43
"37","0.25",253,0.65,165,0.8568,210,0.26,5000,2277,1825,2723,2459,20.48
"44","0.25",253,0.7,178,0.8796,219,0.26,5000,2476,2095,2524,2303,15.53
"3","0.3",176,0.4,71,0.7066,104,0.31,5000,1997,1019,3003,2514,69.23
"10","0.3",176,0.45,80,0.765,113,0.32,5000,1977,1206,3023,2619,55.75
"17","0.3",176,0.5,88,0.795,121,0.32,5000,2080,1406,2920,2569,45.45
"24","0.3",176,0.55,97,0.8164,131,0.32,5000,2121,1538,2879,2544,34.35
"31","0.3",176,0.6,106,0.837,139,0.32,5000,2226,1710,2774,2475,26.62
"38","0.3",176,0.65,115,0.863,147,0.32,5000,2324,1870,2676,2445,19.73
"45","0.3",176,0.7,124,0.8896,154,0.32,5000,2384,2048,2616,2400,14.29
"4","0.35",130,0.4,52,0.717,76,0.37,5000,1942,1021,3058,2564,71.05
"11","0.35",130,0.45,59,0.7588,84,0.37,5000,2015,1215,2985,2579,54.76
"18","0.35",130,0.5,65,0.787,91,0.37,5000,2082,1377,2918,2558,42.86
"25","0.35",130,0.55,72,0.8288,97,0.37,5000,2174,1592,2826,2552,34.02
"32","0.35",130,0.6,78,0.8396,103,0.37,5000,2226,1722,2774,2476,26.21
"39","0.35",130,0.65,85,0.874,109,0.37,5000,2348,1919,2652,2451,19.27
"46","0.35",130,0.7,91,0.8934,114,0.37,5000,2406,2062,2594,2405,14.04
"5","0.4",100,0.4,40,0.7248,59,0.42,5000,1983,1051,3017,2573,69.49
"12","0.4",100,0.45,45,0.751,65,0.42,5000,2048,1219,2952,2536,53.85
"19","0.4",100,0.5,50,0.7912,71,0.42,5000,1984,1304,3016,2652,40.85
"26","0.4",100,0.55,56,0.8256,76,0.42,5000,2132,1548,2868,2580,31.58
"33","0.4",100,0.6,60,0.8542,79,0.43,5000,2176,1699,2824,2572,26.58
"40","0.4",100,0.65,65,0.8694,85,0.42,5000,2222,1802,2778,2545,17.65
"47","0.4",100,0.7,70,0.8924,89,0.42,5000,2364,2019,2636,2443,12.36
"6","0.45",79,0.4,32,0.7284,48,0.47,5000,1930,1019,3070,2623,64.58
"13","0.45",79,0.45,36,0.7648,53,0.47,5000,1979,1180,3021,2644,49.06
"20","0.45",79,0.5,40,0.7946,56,0.48,5000,2078,1395,2922,2578,41.07
"27","0.45",79,0.55,44,0.8292,60,0.48,5000,2114,1538,2886,2608,31.67
"34","0.45",79,0.6,48,0.8578,64,0.48,5000,2191,1708,2809,2581,23.44
"41","0.45",79,0.65,52,0.8688,68,0.47,5000,2286,1826,2714,2518,16.18
"48","0.45",79,0.7,56,0.8912,71,0.48,5000,2390,2026,2610,2430,11.27
"7","0.5",64,0.4,26,0.7278,39,0.53,5000,1943,1008,3057,2631,64.1
"14","0.5",64,0.45,29,0.7662,43,0.53,5000,1989,1179,3011,2652,48.84
"21","0.5",64,0.5,32,0.791,46,0.53,5000,2061,1336,2939,2619,39.13
"28","0.5",64,0.55,36,0.833,50,0.53,5000,2119,1537,2881,2628,28
"35","0.5",64,0.6,39,0.8542,52,0.53,5000,2201,1749,2799,2522,23.08
"42","0.5",64,0.65,42,0.8814,55,0.53,5000,2292,1883,2708,2524,16.36
"49","0.5",64,0.7,45,0.8978,58,0.53,5000,2366,2024,2634,2465,10.34
